SWSID,305b Listings (Cat 4+5),Approved TMDL Count,Developing TMDL Count,Fish Passage Count,Critical Habitat Length ft,Shellfish Count,Swimming Beach Percentage,Swimming Tributary Percentage,Coho Presence,Urban Growth Boundary Percentage,ICIAreaPercentage,RoadwayLength_ft,SidewalkLength_ft,CrashesCount,CrashDensity,SidewalkDensity,PercentBuiltBefore1990,PercentImpervious,MeanFlowDurationIndex,MedianOpportunityIndex,MeanAnnualAvgDailyTrips,Median2018EquityScore,MedianPavementCondition,MedianSpawnerMortality,WQBE Total Copper (kg/yr),WQBE Total Zinc (kg/yr),WQBE Total Nitrogen (kg/yr),WQBE Total Phosphorus (kg/yr),WQBE Total Suspended Solids (kg/yr),WQBE Total PCB (kg/yr),WQBE Total PBDE (kg/yr),WQBE Total PAH (kg/yr),WQBE BEHP (kg/yr),WQBE Fecal Coliform Bacteria (10^12 CFU/year),WQBE Annual Runoff (ft^3/yr),UrbanHeatDifference,Average BIBI (216-22 Median),Facilities Count,BRE Facilities Count (All),Critical Facilities Count (25th percentile BRE),Is Drainage to P Sensitive Lake,Historic Runoff (mm),DrainageComplaint,Percent PAD Area
1000010,8,1,0,0,0,0,9.21E-05,0.028433099,0,0.999998987,0,1021840,1757500,0,0,1.719936585,0.512748006,0.649,5.895,0.07035,5390.464,1.66666667,,0.174297026,33.37503121,181.9785796,3373.918225,299.0155201,164869.4269,0.058881311,0.004788717,1.520773728,8.061790221,11.35173739,91934096.49,15.68,,0,0,0,0,689.896,1,0
1000020,7,0,0,2,0,0,0.0126777,0,0,0.999998987,0,930970,1431580,0,0,1.537729465,0.460970014,0.644,5.613,0.1781,14991.508,2.33333333,,0,15.20385437,86.67464548,1283.922555,124.9868321,68720.95744,0.022000491,0.002983633,0.583182127,3.15302713,5.454063058,36037199.55,15.583,,1,0,0,0,696.93,6,0
1000030,44,0,0,0,163445,0,0.000132453,2.00E-06,23,1,0.000355686,52407.10156,60.0768013,0,0,0.001146348,0.02013662,0.083,1.064,0.1691,10733.423,1.833333335,,0.303609197,,,,,,,,,,,,8.273,,0,0,0,1,79.215,0,0
1000040,3,0,0,0,0,0,0.080088399,0.801357985,2,0.999996006,0,0,0,0,,,0.351410002,0.241,7.45,0.32395,31670.07,2.833333335,,0.35972533,0.75546674,4.444735849,91.64347454,8.329682132,3321.756681,0.000870687,0.000157761,0.033770266,0.140141038,0.280763596,2658411.179,10.072,54.5,0,0,0,1,672.584,0,0
1000050,3,0,0,0,0,0,5.75E-06,0.962158024,2,1,0,0,0,0,,,0.307267994,0.384,9.267,0.4116,9842.937,3,,0.342072386,1.201522979,6.118115916,246.6370232,18.84521404,6612.574274,0.002020684,0.00013601,0.078254351,0.312953053,0.405725143,6727193.351,13.311,6,0,0,0,1,591.077,0,0
1000060,0,0,0,0,0,0,0,1,2,1,0,0,826.8289795,0,,,0.442115992,0.028,5.488,0.32395,230.156,2.833333335,,0.342072386,0.090497204,0.44398961,28.91497138,2.112416093,604.6595641,0.000178502,4.91E-06,0.013458105,0.030462545,0.025801259,811397.3203,14.533,,0,0,0,1,349.485,0,0
1000070,0,0,0,0,0,0,0,0.988040984,2,1,0,3535.26001,502.5379944,1,0.000282865,0.142150222,0.208134994,0.192,5.686,0.32395,353.694,2.833333335,49,0.342072386,0.393673064,1.948240942,114.3421516,8.387702936,2515.487108,0.00070986,9.71E-06,0.030865688,0.113101306,0.141418317,3104780.989,16.416,23.6,0,0,0,1,380.433,0,0
1000080,0,0,0,0,0,0,0,0.987496018,1,1,0,780.4829712,393.8269958,0,0,0.504593963,0.50802201,0.434,9.478,0.5232,2290.294,3.33333333,64,0.365089409,3.905314159,20.10840551,631.0565155,49.94428579,18639.9229,0.006507952,0.000453987,0.226696339,0.934141106,1.251897504,17178866.59,19.161,,0,0,0,1,678.353,0,0
1000090,0,0,0,0,0,0,0,0.95994699,0,1,0,3313.909912,810.4849854,2,0.000603517,0.244570615,0.296968997,0.347,9.058,0.5156,640.212,3.33333333,52,0.337448176,1.899949534,9.573323069,360.7626297,27.84268673,9375.79419,0.003216521,0.000205749,0.132427779,0.475189633,0.581895711,9928225.224,18.712,,2,0,0,1,550.94,0,0
1000100,1,0,0,0,0,0,0,1,2,1,0,5839.680176,1154.829956,3,0.000513727,0.197755685,0.308806986,0.069,5.422,0.2474,47.557,2.66666667,28,0.342072386,0.199142101,0.972156764,69.52596192,5.037034467,1452.971644,0.000409738,5.94E-06,0.030460145,0.071041864,0.059151048,1921507.839,15.006,,2,2,1,0,253.864,1,0
1000110,1,0,0,0,0,0,0,0.994023025,2,1,0,0,4669.169922,0,,,0.172570005,0.139,4.185,0.24185,129.365,2.333333335,,0.377378273,0.425291014,2.08373369,125.8785941,9.264658037,2732.452307,0.000806593,2.33E-05,0.04664285,0.131739307,0.135848081,3511493.27,13.528,,0,0,0,0,385.885,0,0
1000120,1,0,0,0,0,0,0,1,2,1,0,1516,0,1,0.000659631,0,0.30250901,0.032,4.98,0.4116,301.224,2.5,0,0.342072386,0.150597781,0.750035844,32.37510477,2.45202499,944.3095431,0.000305919,1.38E-05,0.015970687,0.048390195,0.043540523,946779.5925,15.195,,0,0,0,0,173.634,0,0
1000130,1,0,0,0,0,0,0,1,2,1,0,3167.840088,0,9,0.002841052,0,0.492040992,0.123,6.616,0.4116,2101.417,3,0,0.342072386,0.354431319,1.806761857,57.68886607,4.58970728,1804.522407,0.000637257,4.97E-05,0.028358893,0.095699263,0.106755869,1707937.428,16.247,72,1,0,0,0,305.669,0,0
1000140,2,0,0,0,0,0,0,0.999841988,1,1,0,0,9709.320313,0,,,0.337678999,0.188,5.725,0.24915,2958.996,2.166666665,,0.288972037,1.35314671,6.90992702,212.7785087,16.79562859,7205.032836,0.002565566,0.000158665,0.109118398,0.378617796,0.376866654,6161769.966,13.986,,0,0,0,1,474.395,0,0
1000150,0,0,0,0,0,0,0,0.455181003,1,1,0,0,11528.2002,0,,,0.187729999,0.191,5.603,0.24915,952.842,2.166666665,,0.342072386,2.328038946,11.80414764,465.9972829,35.77228899,12690.26741,0.004171125,0.000209433,0.177542086,0.626387837,0.735323123,13774889.44,13.923,,0,0,0,1,512.295,0,0
1000160,0,0,0,0,0,0,0,0.00746935,0,1,0,0,0,0,,,0.033582602,0.151,5.211,0.2509,41.922,2.33333333,,0.235871687,2.134594027,10.94422532,237.5560671,19.81334997,9632.65524,0.003908419,0.000275414,0.125912409,0.529414661,0.557505165,6567601.622,12.991,,0,0,0,1,239.255,0,0
