SWSID,mean
1700010,1.277401821
1700020,1.292226697
1700030,1.298056917
1700220,1.275470867
1700040,1.280207019
1700050,1.28313702
1700060,1.275337744
1700070,1.281102072
1700080,1.292897512
1700090,1.21364756
1700120,1.282469387
1700130,1.266864666
1700150,1.269947339
1700100,1.21208602
1700110,1.262357451
1700140,1.27063597
1700160,1.274195782
1700161,1.270690644
1700170,1.247252486
1700180,1.256783562
1700190,1.245629964
1700200,1.243714288
1700210,1.216278259
1800010,1.2716003
1800200,1.271916522
1800290,1.273038816
1800020,1.273882965
1800190,1.272253711
1800030,1.277270437
1800040,1.275805355
1800050,1.276257987
1800100,1.278174817
1800170,1.278461334
1800060,1.278654422
1800090,1.274869886
1800070,1.278174849
1800080,1.280018517
1800110,1.27869789
1800120,1.279525481
1800130,1.280196576
1800140,1.279354695
1800150,1.280176
1800160,1.280359734
1800180,1.279781657
1800210,1.27469808
1800220,1.275863727
1800240,1.276742358
1800250,1.278732746
1800230,1.278304571
1800260,1.279604497
1800270,1.279940256
1800280,1.279947846
1800300,1.272490233
1600010,1.106718364
1600020,1.095719846
1600030,1.067755244
1600080,1.074899852
1600031,1.06884931
1600040,1.070084203
1600050,1.08844475
1600070,1.059558842
1600060,1.088223235
1500010,1.183819396
1502200,1.183653833
1500020,1.183934826
1500030,1.184035105
1502080,1.18374183
1500040,1.184279122
1502060,1.184399591
1502070,1.183577696
1500050,1.185933589
1500060,1.184624908
1500070,1.184788759
1500080,1.185461693
1500090,1.189349544
1500100,1.191341968
1500130,1.188769536
1500140,1.191309994
1502050,1.18822734
1500101,1.192317859
1500120,1.192855374
1500110,1.19214943
1500150,1.190600064
1500160,1.195710642
1500170,1.198377896
1500180,1.199120127
1500300,1.210321876
1500310,1.201572659
1500190,1.201199162
1500210,1.209536697
1500200,1.194113524
1500220,1.216480676
1500230,1.202510271
1500240,1.214479127
1500250,1.19934384
1500260,1.211866111
1500270,1.1882703
1500280,1.188739476
1500290,1.195506
1500320,1.196616954
1500330,1.195796998
1500340,1.19724018
1501610,1.219109205
1500350,1.20645471
1500360,1.210494214
1500370,1.198431791
1501600,1.217134564
1500380,1.207649729
1500430,1.193289597
1500490,1.194854054
1500500,1.203468757
1500510,1.202112019
1501590,1.201414865
1500390,1.213282022
1500400,1.223395221
1500410,1.230477385
1500420,1.228790463
1500440,1.191817865
1500450,1.191232073
1500470,1.186799456
1500460,1.191423635
1500480,1.185644986
1500520,1.201508436
1500530,1.206406862
1501510,1.199147601
1501560,1.201327995
1501580,1.206216716
1500540,1.210650111
1501460,1.208863698
1501470,1.207961753
1501480,1.209394178
1501490,1.209452765
