SWSID,Cat1_Count,Cat2_Count,Cat4A_Count,Cat4B_Count,Cat4C_Count,Cat5_Count,305b_Listings_Cat4+5,ApprovedTMDLCount,DevelopingTMDLCount,FishPassageCount,CriticalHabitatLength_ft,ShellfishCount,SwimmingBeachPercentage,SwimmingTributaryPercentage,CohoPresence,UrbanGrowthBoundaryPercentage,ICIAreaPercentage,RoadwayLength_ft,SidewalkLength_ft,CrashesCount,CrashDensity,SidewalkDensity,PercentBuiltBefore1990,PercentImpervious,MeanFlowDurationIndex,HeatIndex,MedianOpportunityIndex,MeanAnnualAvgDailyTrips,Median2018EquityScore,MedianPavementCondition,MedianSpawnerMortality,WQBETotalCopper,WQBETotalZinc,WQBETotalNitrogen,WQBETotalPhosphorus,WQBETotalSuspendedSolids,WQBETotalPCB,WQBETotalPBDE,WQBETotalPAH,WQBE_BEHP,WQBEFecalColiformBacteria,WQBEAnnualRunoff,UrbanHeat,MeanAnnualTSSLoad,MeanAnnualCopperLoad,MeanAnnualPhosphorusLoad,MeanAnnualZincLoad,MeanAnnualTKNLoad,Average_BIBI,FacilitiesCount,BRE_FaciltiesCount,DrainagetoPSensitiveLake
1000010.00,8.00,8.00,0.00,0.00,1.00,7.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,1.00,0.00,1021840.00,1757500.00,0.00,0.00,1.72,0.51,0.65,5.90,83.18,0.07,5390.46,1.67,,0.17,33.40,182.00,3373.90,299.00,164869.40,0.10,0.00,1.50,8.10,11.40,91934096.00,15.68,13.70,11.30,24.80,31.40,666.20,0.00,0.00,0.00,0.00
1000020.00,6.00,6.00,0.00,0.00,1.00,6.00,7.00,0.00,0.00,2.00,0.00,0.00,0.01,0.00,0.00,1.00,0.00,930970.00,1431580.00,0.00,0.00,1.54,0.46,0.64,5.61,84.05,0.18,14991.51,2.33,,0.00,15.20,86.70,1283.90,125.00,68721.00,0.00,0.00,0.60,3.20,5.50,36037200.00,15.58,15.10,14.20,29.30,43.30,750.20,0.00,1.00,0.00,0.00
1000030.00,97.00,29.00,0.00,0.00,2.00,42.00,44.00,0.00,0.00,0.00,163445.00,0.00,0.00,0.00,23.00,1.00,0.00,52407.10,60.08,0.00,0.00,0.00,0.02,0.08,1.06,78.15,0.17,10733.42,1.83,,0.30,,,,,,,,,,,,8.27,0.30,0.10,0.30,0.70,10.70,0.00,0.00,0.00,1.00
1000040.00,5.00,2.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.08,0.80,2.00,1.00,0.00,0.00,0.00,0.00,,,0.35,0.24,7.45,78.14,0.32,31670.07,2.83,,0.36,0.80,4.40,91.60,8.30,3321.80,0.00,0.00,0.00,0.10,0.30,2658411.00,10.07,10.10,7.80,23.50,23.30,475.10,54.50,0.00,0.00,1.00
1000050.00,5.00,2.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,2.00,1.00,0.00,0.00,0.00,0.00,,,0.31,0.38,9.27,79.62,0.41,9842.94,3.00,,0.34,1.20,6.10,246.60,18.80,6612.60,0.00,0.00,0.10,0.30,0.40,6727193.00,13.31,10.20,5.90,19.10,21.50,396.20,60.00,0.00,0.00,1.00
1000060.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,826.83,0.00,,,0.44,0.03,5.49,78.14,0.32,230.16,2.83,,0.34,0.10,0.40,28.90,2.10,604.70,0.00,0.00,0.00,0.00,0.00,811397.00,14.53,4.00,1.10,3.60,6.40,113.30,0.00,0.00,0.00,1.00
1000070.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,2.00,1.00,0.00,3535.26,502.54,1.00,0.00,0.14,0.21,0.19,5.69,82.02,0.32,353.69,2.83,49.00,0.34,0.40,1.90,114.30,8.40,2515.50,0.00,0.00,0.00,0.10,0.10,3104781.00,16.42,5.90,2.40,8.70,10.80,188.00,23.60,0.00,0.00,1.00
1000080.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,1.00,1.00,0.00,780.48,393.83,0.00,0.00,0.50,0.51,0.43,9.48,84.58,0.52,2290.29,3.33,64.00,0.37,3.90,20.10,631.10,49.90,18639.90,0.00,0.00,0.20,0.90,1.30,17178867.00,19.16,11.70,5.90,24.60,22.80,449.80,0.00,0.00,0.00,1.00
1000090.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,1.00,0.00,3313.91,810.48,2.00,0.00,0.24,0.30,0.35,9.06,78.68,0.52,640.21,3.33,52.00,0.34,1.90,9.60,360.80,27.80,9375.80,0.00,0.00,0.10,0.50,0.60,9928225.00,18.71,8.50,2.40,16.10,14.30,264.50,0.00,2.00,0.00,1.00
1000100.00,0.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,5839.68,1154.83,3.00,0.00,0.20,0.31,0.07,5.42,78.14,0.25,47.56,2.67,28.00,0.34,0.20,1.00,69.50,5.00,1453.00,0.00,0.00,0.00,0.10,0.10,1921508.00,15.01,4.10,1.00,4.90,6.60,109.30,0.00,2.00,2.00,0.00
