Goal Number ,Subgoal Number,Subgoal Name
1,1.1,Prioritize areas based on pollutant concentrations
1,1.3,Improve infrastructure in areas with inadequate stormwater management.
2,2.1,Target areas most vulnerable to and at risk for climate change impacts.
3,3.1,Improve B-IBI in prioritized areas
3,3.2, Preserve and restore wildlife habitat
3,3.3, Protect and restore areas important for prioritized endpoints of concern 
3,3.4, Reduce salmon pre-spawning mortality (PSM) /Urban Runoff Mortality Syndrome (URMS)
3,3.5,Preserve last remaining best lands in King County
4,4.1,Prioritize areas of overlapping equity needs as identified by other KC programs
4,4.2,Address infrastructure gaps in underserved populations
4,4.3,Improve access to safe & high-quality roadway infrastructure
5,5.1,Help meet Combined Sewer Overflow regulatory requirements in accordance with the King County consent decree
